Product,TotalQuantity,Revenue,NumOrders,NumCustomers
SET OF 10 LED DOLLY LIGHTS,2194,12985.23,351,271
HOT BATHS METAL SIGN,6415,12832.140000000001,385,206
HANGING HEART JAR T-LIGHT HOLDER,10980,12674.720000000001,572,304
SET 7 BABUSHKA NESTING BOXES,1654,12665.29,297,188
CLOTHES PEGS RETROSPOT PACK 24,8418,12545.38,639,363
GARDENERS KNEELING PAD KEEP CALM,7740,12493.48,756,405
MEMO BOARD RETROSPOT  DESIGN,2786,12411.02,348,230
3 HOOK PHOTO SHELF ANTIQUE WHITE,1723,12294.380000000001,304,172
BLACK HEART CARD HOLDER,4844,12261.9,166,123
HAND WARMER SCOTTY DOG DESIGN,6118,12248.760000000002,471,329
RED RETROSPOT MINI CASES,1712,12216.8,365,235
GREY HEART HOT WATER BOTTLE,3156,12191.15,511,337
PLASTERS IN TIN SPACEBOY,7664,12151.8,579,339
CHRISTMAS LIGHTS 10 REINDEER,1572,12150.0,253,205
ASSORTED COLOUR MINI CASES,1719,12123.41,365,239
DOORMAT SPOTTY HOME SWEET HOME,1662,12095.67,405,251
HAND WARMER BIRD DESIGN,6001,12081.430000000002,474,333
PAPER CHAIN KIT RETROSPOT,4307,12043.210000000001,444,294
LUNCH BAG ALPHABET DESIGN,7554,12029.06,647,377
RECYCLING BAG RETROSPOT,6088,11942.43,407,187
DOTCOM POSTAGE,16,11906.36,16,1
RED KITCHEN SCALES,1476,11895.73,448,292
FELTCRAFT CUSHION OWL,3284,11783.05,417,244
FELTCRAFT DOLL MOLLY,4469,11762.99,293,211
PINK HAPPY BIRTHDAY BUNTING,2287,11688.150000000001,359,238
DOUGHNUT LIP GLOSS,9662,11640.7,308,217
PLASTERS IN TIN WOODLAND ANIMALS,7307,11637.429999999998,587,351
PACK OF 60 PINK PAISLEY CAKE CASES,24264,11629.7,669,410
PINK BLUE FELT CRAFT TRINKET BOX,10225,11629.39,457,277
WOODEN ROUNDERS GARDEN SET,1269,11601.14,303,224
IVORY DINER WALL CLOCK,1426,11587.2,391,239
REGENCY SUGAR BOWL GREEN,2956,11575.54,268,190
FELTCRAFT 6 FLOWER FRIENDS,5890,11566.390000000001,461,337
DOORMAT WELCOME PUPPIES,2028,11544.2,252,163
LOVE BUILDING BLOCK WORD,1946,11535.560000000001,555,337
ENAMEL FLOWER JUG CREAM,1995,11444.93,441,311
WOOD S/3 CABINET ANT WHITE FINISH,1370,11394.9,373,183
RED DINER WALL CLOCK,1352,11074.390000000001,416,206
STRAWBERRY CERAMIC TRINKET BOX,9328,10895.52,507,296
JUMBO STORAGE BAG SKULLS,5706,10890.79,471,220
PICNIC BASKET WICKER LARGE,1194,10818.9,257,187
FELTCRAFT CUSHION RABBIT,3018,10694.81,324,202
METAL SIGN TAKE IT OR LEAVE IT,3690,10647.300000000001,351,228
VINTAGE SNAP CARDS,13336,10447.42,722,449
TEA TIME PARTY BUNTING,2291,10445.25,313,192
RED RETROSPOT PICNIC BAG,3758,10371.66,385,223
LUNCH BAG VINTAGE DOILY,6452,10370.76,538,319
LUNCH BAG DOLLY GIRL DESIGN,6545,10360.69,598,310
LUNCH BAG DOILEY PATTERN,6482,10331.3,464,290
ALARM CLOCK BAKELIKE IVORY,2728,10285.61,468,241
PAPER BUNTING WHITE LACE,3779,10264.050000000001,257,155
RED RETROSPOT UMBRELLA,1846,10247.470000000001,303,210
WHITE SKULL HOT WATER BOTTLE,2702,10227.72,378,252
BAKING SET SPACEBOY DESIGN,2153,10210.890000000001,424,296
REGENCY TEA PLATE ROSES,6575,10190.789999999999,328,224
CLASSIC METAL BIRDCAGE PLANT HOLDER,928,10161.41,260,179
SOLDIERS EGG CUP,8821,10150.220000000001,327,197
RED RETROSPOT CHARLOTTE BAG,12809,10125.85,739,335
BLUE HAPPY BIRTHDAY BUNTING,1950,10107.52,355,228
TRADITIONAL WOODEN SKIPPING ROPE,7919,10019.47,340,264
LUNCH BAG VINTAGE LEAF DESIGN,6225,10006.45,597,305
GARDENERS KNEELING PAD CUP OF TEA,6303,9963.39,635,351
WOODEN UNION JACK BUNTING,1734,9928.83,296,217
CHILDRENS CUTLERY POLKADOT BLUE,2524,9831.4,211,150
DOORMAT BLACK FLOCK,1787,9822.2,173,105
JUMBO BAG VINTAGE CHRISTMAS,4908,9748.34,385,286
ICE CREAM SUNDAE LIP GLOSS,7920,9668.16,248,202
LONDON BUS COFFEE MUG,4246,9666.3,276,180
SET/20 RED RETROSPOT PAPER NAPKINS,12313,9656.789999999999,732,427
FELTCRAFT CUSHION BUTTERFLY,2698,9655.48,294,192
DOORMAT HOME SWEET HOME BLUE,1597,9635.89,261,198
CHILDRENS CUTLERY RETROSPOT RED,2492,9603.68,229,157
COLOUR GLASS T-LIGHT HOLDER HANGING,15611,9597.710000000001,529,318
BREAD BIN DINER STYLE RED,626,9597.31,249,158
PLASTERS IN TIN CIRCUS PARADE,5952,9596.96,521,305
NO SINGING METAL SIGN,4636,9573.6,384,207
WOODEN CROQUET GARDEN SET,709,9555.98,240,181
HAND WARMER UNION JACK,4746,9550.560000000001,441,300
DOORMAT WELCOME TO OUR HOME,1378,9468.08,338,231
PLASTERS IN TIN STRONGMAN,5885,9462.289999999999,449,294
SET/3 RED GINGHAM ROSE STORAGE BOX,2704,9424.32,319,186
15CM CHRISTMAS GLASS BALL 20 LIGHTS,1266,9374.7,214,170
PHOTO FRAME CORNICE,3206,9365.78,454,278
ANTIQUE SILVER TEA GLASS ENGRAVED,8273,9339.34,278,177
KNITTED UNION FLAG HOT WATER BOTTLE,2469,9329.17,319,211
TRADITIONAL MODELLING CLAY,8014,9311.47,336,229
TRADITIONAL KNITTING NANCY,5895,9297.869999999999,509,366
SET OF 4 KNICK KNACK TINS DOILY,2294,9270.5,312,230
BLUE HARMONICA IN BOX,7434,9222.63,517,306
FAWN BLUE HOT WATER BOTTLE,2925,9218.550000000001,379,253
RED RETROSPOT ROUND CAKE TINS,975,9188.25,257,167
REGENCY TEA PLATE GREEN,5966,9184.9,270,195
PANTRY ROLLING PIN,2407,9184.279999999999,197,153
WOODEN SCHOOL COLOURING SET,5695,9072.869999999999,395,288
EDWARDIAN PARASOL RED,1630,9055.87,270,141
REGENCY MILK JUG PINK,3066,9008.0,272,206
REVOLVER WOODEN RULER,4917,8950.289999999999,285,217
3 TIER CAKE TIN RED AND CREAM,652,8737.78,136,115
STRAWBERRY LUNCH BOX WITH CUTLERY,3716,8734.64,426,233
LADIES & GENTLEMEN METAL SIGN,3899,8699.13,367,196
SET OF 20 KIDS COOKIE CUTTERS,4149,8697.27,416,290
PINK CREAM FELT CRAFT TRINKET BOX,7131,8648.49,535,312
GINGERBREAD MAN COOKIE CUTTER,7204,8625.130000000001,554,388
60 TEATIME FAIRY CAKE CASES,17689,8618.37,657,414
SET OF 6 SOLDIER SKITTLES,2297,8597.5,339,250
AREA PATROLLED METAL SIGN,4290,8552.220000000001,374,176
VINTAGE DOILY JUMBO BAG RED,4447,8535.26,234,186
VINTAGE HEADS AND TAILS CARD GAME,7143,8531.41,485,342
JUMBO BAG PAISLEY PARK,4373,8529.24,302,230
HAND WARMER RED RETROSPOT,4274,8526.12,341,258
ENAMEL BREAD BIN CREAM,713,8519.0,326,189
"RECORD FRAME 7"" SINGLE SIZE ",3812,8450.82,196,73
FAMILY ALBUM WHITE PICTURE FRAME,1075,8416.64,286,165
T-LIGHT GLASS FLUTED ANTIQUE,7336,8378.890000000001,260,184
SWEETHEART CAKESTAND 3 TIER,892,8376.6,326,252
POTTERING IN THE SHED METAL SIGN,3926,8372.7,371,225
"SET 3 RETROSPOT TEA,COFFEE,SUGAR",1841,8354.87,241,150
BOX OF 6 MINI VINTAGE CRACKERS,3647,8350.41,329,270
SET 2 PANTRY DESIGN TEA TOWELS,2697,8323.17,311,241
FELTCRAFT BUTTERFLY HEARTS,6127,8314.55,436,287
SET OF 3 NOTEBOOKS IN PARCEL,5207,8283.75,319,253
MULTI COLOUR SILVER T-LIGHT HOLDER,10279,8269.45,306,208
BOX OF 6 MINI 50'S CRACKERS,3539,8216.79,365,300
LARGE WHITE HEART OF WICKER,2908,8184.700000000001,511,350
HANGING JAM JAR T-LIGHT HOLDER,10528,8164.12,310,193
3 HEARTS HANGING DECORATION RUSTIC,2895,8161.21,261,196
SET 6 PAPER TABLE LANTERN HEARTS,2265,8129.43,263,205
VINTAGE RED KITCHEN CABINET,60,8125.0,38,34
ICE CREAM PEN LIP GLOSS,6607,8077.31,213,159
FELTCRAFT PRINCESS CHARLOTTE DOLL,2223,8071.51,401,275
DOORMAT MULTICOLOUR STRIPE,1419,8053.22,141,88
SET OF 6 RIBBONS VINTAGE CHRISTMAS,2843,8051.83,329,278
ALARM CLOCK BAKELIKE ORANGE,2182,7995.63,359,179
CHILDRENS CUTLERY SPACEBOY,1982,7974.38,316,225
RED METAL BOX TOP SECRET,1003,7962.03,221,148
RECIPE BOX RETROSPOT,2870,7952.900000000001,441,233
SET OF 72 RETROSPOT PAPER  DOILIES,5680,7947.37,365,244
SET/10 RED POLKADOT PARTY CANDLES,6502,7799.18,336,238
TRAVEL SEWING KIT,4864,7787.36,394,263
GRAND CHOCOLATECANDLE,5801,7785.049999999999,249,195
PICNIC BASKET WICKER SMALL,1427,7746.700000000001,232,175
SET OF 3 HEART COOKIE CUTTERS,6019,7741.84,521,376
FELTCRAFT CHRISTMAS FAIRY,1896,7722.68,302,240
JUMBO BAG TOYS,4198,7689.28,245,152
ZINC FOLKART SLEIGH BELLS,4647,7665.110000000001,339,270
HAND WARMER RED LOVE HEART,3762,7660.200000000001,371,268
FAMILY PHOTO FRAME CORNICE,837,7646.839999999999,233,184
BLUE DINER WALL CLOCK,907,7528.93,338,179
SET 6 SCHOOL MILK BOTTLES IN CRATE,2067,7510.29,281,195
PAINTED METAL PEARS ASSORTED,4476,7491.4,352,259
60 CAKE CASES VINTAGE CHRISTMAS,14735,7417.85,466,342
SMALL GLASS HEART TRINKET POT,3670,7412.56,342,215
PLASTERS IN TIN VINTAGE PAISLEY,4573,7346.69,480,315
OPEN CLOSED METAL SIGN,1577,7311.360000000001,341,263
WOODLAND CHARLOTTE BAG,9237,7277.24,531,238
PACK OF 12 LONDON TISSUES,25345,7266.71,382,195
WOODEN BOX OF DOMINOES,5778,7215.95,449,336
CHOCOLATE THIS WAY METAL SIGN,3635,7208.52,374,220
SILVER HANGING T-LIGHT HOLDER,4665,7193.249999999999,250,165
SET OF 4 KNICK KNACK TINS LONDON,1788,7170.6,233,150
FELTCRAFT PRINCESS LOLA DOLL,1964,7166.94,378,247
PACK OF 6 BIRDY GIFT TAGS,6062,7149.7,319,241
CHARLOTTE BAG SUKI DESIGN,8975,7138.65,585,249
SET OF 4 KNICK KNACK TINS DOILEY,1803,7136.85,172,142
CHRISTMAS CRAFT LITTLE FRIENDS,3468,7128.1,421,319
CREAM CUPID HEARTS COAT HANGER,1918,7125.38,241,133
ZINC METAL HEART DECORATION,5757,7108.68,476,311
SWEETHEART RECIPE BOOK STAND,1099,7084.650000000001,287,170
RED SPOTTY BISCUIT TIN,2058,7071.2,203,130
SPACEBOY BABY GIFT SET,450,7065.499999999999,142,110
FUNKY DIVA PEN,8328,7010.94,155,107
36 DOILIES VINTAGE CHRISTMAS,5153,7006.25,160,151
RAIN PONCHO RETROSPOT,8755,6964.63,180,115
JINGLE BELL HEART ANTIQUE SILVER,3547,6962.04,197,162
TRIPLE PHOTO FRAME CORNICE,761,6932.83,208,152
GIANT 50'S CHRISTMAS CRACKER,2635,6926.110000000001,310,260
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,5753,6923.17,321,168
SWEETHEART CERAMIC TRINKET BOX,5757,6875.860000000001,381,215
PACK OF 72 SKULL CAKE CASES,14309,6859.31,499,295
NATURAL SLATE CHALKBOARD LARGE,1452,6833.200000000001,303,220
SMALL WHITE HEART OF WICKER,4283,6832.829999999999,582,378
HANGING HEART ZINC T-LIGHT HOLDER,8470,6830.589999999999,412,271
GIRAFFE WOODEN RULER,3710,6820.74,234,185
SET/2 RED RETROSPOT TEA TOWELS,2319,6820.01,219,151
VINTAGE CREAM DOG FOOD CONTAINER,826,6779.35,292,176
WHITE WOOD GARDEN PLANT LADDER,724,6778.8099999999995,379,278
YOU'RE CONFUSING ME METAL SIGN,4281,6762.57,342,191
RETROSPOT PARTY BAG + STICKER SET,4391,6749.23,267,167
VINTAGE DOILY TRAVEL SEWING KIT,3522,6747.9,349,282
SET 6 PAPER TABLE LANTERN STARS,1860,6739.63,209,161
RED FLORAL FELTCRAFT SHOULDER BAG,1876,6734.31,257,157
SET OF 3 BUTTERFLY COOKIE CUTTERS,5293,6718.9,498,325
LUNCH BOX WITH CUTLERY RETROSPOT,2853,6717.79,324,185
DOORMAT 3 SMILEY CATS,1107,6715.25,174,111
HOME SWEET HOME MUG,5347,6708.11,293,174
CARRIAGE,134,6686.0,133,29
CHILDS BREAKFAST SET SPACEBOY,731,6681.849999999999,203,155
SET 40 HEART SHAPE PETIT FOUR CASES,4260,6677.0,140,123
HEART FILIGREE DOVE  SMALL,5439,6671.07,246,162
DOORMAT UNION JACK GUNS AND ROSES,1159,6635.61,155,108
ROUND CAKE TIN VINTAGE RED,891,6600.7300000000005,250,193
MINT KITCHEN SCALES,792,6599.79,304,193
CHILDRENS CUTLERY POLKADOT GREEN,1688,6599.06,166,114
ROSE COTTAGE KEEPSAKE BOX,729,6574.95,144,118
ALARM CLOCK BAKELIKE CHOCOLATE,1776,6574.26,322,171
CHILDRENS APRON SPACEBOY DESIGN,3543,6572.49,448,298
DOLLY GIRL BABY GIFT SET,421,6567.95,120,99
CHILDRENS CUTLERY DOLLY GIRL,1628,6554.6,268,197
SET OF 20 VINTAGE CHRISTMAS NAPKINS,8122,6530.259999999999,489,368
PLASTERS IN TIN SKULLS,4036,6505.799999999999,439,281
SET OF 12 FAIRY CAKE BAKING CASES,8243,6469.45,465,323
VICTORIAN SEWING BOX SMALL,1128,6432.110000000001,237,133
LARGE ZINC HEART WALL ORGANISER,1064,6414.48,37,29
BEWARE OF THE CAT METAL SIGN,4027,6405.3099999999995,359,178
PICTURE FRAME WOOD TRIPLE PORTRAIT,1023,6378.150000000001,225,142
BLACK/BLUE POLKADOT UMBRELLA,1133,6367.9400000000005,256,183
SET/10 PINK POLKADOT PARTY CANDLES,5257,6353.58,304,214
PIGGY BANK RETROSPOT,2619,6308.57,262,188
MEMO BOARD COTTAGE DESIGN,1365,6306.1900000000005,262,186
BLUE STRIPE CERAMIC DRAWER KNOB,4969,6284.25,351,167
72 SWEETHEART FAIRY CAKE CASES,13070,6274.900000000001,501,325
METAL 4 HOOK HANGER FRENCH CHATEAU,2151,6273.29,337,210
RETROSPOT LARGE MILK JUG,1317,6267.150000000001,310,209
LANDMARK FRAME CAMDEN TOWN,558,6257.35,62,50
TOY TIDY PINK POLKADOT,3169,6229.58,289,133
RED STRIPE CERAMIC DRAWER KNOB,5035,6224.03,333,169
LOVE SEAT ANTIQUE WHITE METAL,58,6210.0,41,33
3 DRAWER ANTIQUE WHITE WOOD CABINET,715,6195.73,186,129
BOX OF 6 CHRISTMAS CAKE DECORATIONS,1712,6155.04,163,136
SAVE THE PLANET MUG,5265,6151.78,270,133
HAND WARMER BABUSHKA DESIGN,4633,6149.33,288,199
VINTAGE DONKEY TAIL GAME,1750,6146.89,215,182
MINI LIGHTS WOODLAND MUSHROOMS,1719,6126.09,173,143
COFFEE MUG APPLES DESIGN,2770,6124.15,229,155
CIRCUS PARADE LUNCH BOX,3375,6122.629999999999,256,168
LARGE CIRCULAR MIRROR MOBILE,6821,6107.049999999999,118,71
WALL ART CLASSIC PUDDINGS,821,6093.49,118,95
AGED GLASS SILVER T-LIGHT HOLDER,10088,6083.200000000001,277,168
JINGLE BELL HEART DECORATION,3687,6069.15,307,223
CHILDS BREAKFAST SET DOLLY GIRL,657,6063.0,180,143
TEA TIME TEA TOWELS,2600,6045.0,2,1
JUMBO BAG DOLLY GIRL DESIGN,3097,6008.41,317,171
SET OF 60 PANTRY DESIGN CAKE CASES,11675,5982.09,504,366
BROCADE RING PURSE,22963,5980.05,206,136
DELUXE SEWING KIT,1058,5974.62,222,157
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,1280,5968.9800000000005,159,128
4 TRADITIONAL SPINNING TOPS,4491,5960.08,364,260
DOORSTOP RETROSPOT HEART,1516,5938.21,236,177
PACK OF 60 DINOSAUR CAKE CASES,12134,5934.68,529,287
PLACE SETTING WHITE HEART,14877,5922.2699999999995,289,174
SET 3 WICKER OVAL BASKETS W LIDS,462,5922.12,32,29
WOODEN HAPPY BIRTHDAY GARLAND,2093,5910.150000000001,232,138
RED RETROSPOT PEG BAG,2460,5880.049999999999,354,205
SET OF 2 TEA TOWELS APPLE AND PEARS,1980,5855.24,238,163
CHARLOTTE BAG PINK POLKADOT,7306,5840.64,487,220
RED RETROSPOT SMALL MILK JUG,2460,5830.2,310,204
PINK FAIRY CAKE CHILDRENS APRON,3144,5823.36,397,250
CHICK GREY HOT WATER BOTTLE,1555,5810.37,282,205
PANTRY WASHING UP BRUSH,3920,5795.86,304,225
BISCUIT TIN 50'S CHRISTMAS,2060,5795.2,271,231
REGENCY TEA PLATE PINK,3688,5793.28,224,160
WOODEN OWLS LIGHT GARLAND,1535,5781.35,147,88
CANDLEHOLDER PINK HANGING HEART,2046,5771.780000000001,343,222
ENGLISH ROSE HOT WATER BOTTLE,1423,5767.91,277,198
BINGO SET,1553,5725.71,280,210
LANTERN CREAM GAZEBO,1214,5721.42,259,192
BOTANICAL GARDENS WALL CLOCK,259,5719.0,80,70
WHITE METAL LANTERN,1591,5713.03,238,145
PANTRY CHOPPING BOARD,1138,5695.86,43,39
SOMBRERO,4402,5691.5,59,39
SET OF 6 TEA TIME BAKING CASES,4879,5687.150000000001,319,243
UNION STRIPE WITH FRINGE  HAMMOCK,759,5682.09,167,113
SINGLE HEART ZINC T-LIGHT HOLDER,5700,5664.78,336,234
SET OF 2 WOODEN MARKET CRATES,462,5652.9,165,142
DOORMAT TOPIARY,880,5644.46,182,125
CHARLOTTE BAG APPLES DESIGN,7039,5632.15,425,199
WHITE SPOT RED CERAMIC DRAWER KNOB,4564,5618.04,307,159
QUEENS GUARD COFFEE MUG,2365,5603.57,233,164
RETROSPOT CHILDRENS APRON,3039,5587.87,292,202
SET OF 72 PINK HEART PAPER DOILIES,3954,5566.679999999999,307,209
VINTAGE CHRISTMAS STOCKING,2199,5564.25,281,246
RED 3 PIECE RETROSPOT CUTLERY SET,1543,5555.13,97,80
VINTAGE CHRISTMAS GIFT SACK,1365,5527.150000000001,193,168
VINTAGE SNAKES & LADDERS,1575,5523.53,268,201
STRAWBERRY CHARLOTTE BAG,6847,5520.95,492,230
SET/6 RED SPOTTY PAPER PLATES,7351,5496.53,325,179
3 STRIPEY MICE FELTCRAFT,2923,5478.05,402,288
POLKADOT PEN,6625,5475.25,107,89
PINK BABY BUNTING,1965,5448.11,204,162
FELTCRAFT PRINCESS OLIVIA DOLL,1514,5446.1,251,184
RUSTIC  SEVENTEEN DRAWER SIDEBOARD,35,5415.0,26,21
PARISIENNE JEWELLERY DRAWER,765,5399.02,225,154
SMALL ZINC HEART WALL ORGANISER,1538,5378.8,42,31
PHOTO FRAME 3 CLASSIC HANGING,554,5377.45,212,146
CLASSIC GLASS COOKIE JAR,1334,5358.5,248,191
WALL ART BIG LOVE,963,5340.21,97,77
WOODEN ADVENT CALENDAR CREAM,370,5340.0,89,64
LUNCH BAG PAISLEY PARK,3315,5267.75,298,233
